n,cos,sin
624,0.795728,-0.573554
625,0.848657,-0.491743
626,0.893203,-0.40509
627,0.92893,-0.314451
628,0.955486,-0.220721
629,0.97261,-0.124826
630,0.980135,-0.0277125
631,0.977987,0.0696616
632,0.966191,0.166335
633,0.944862,0.261355
634,0.914215,0.353783
635,0.874551,0.442708
636,0.826265,0.527253
637,0.769833,0.606584
638,0.705815,0.679921
639,0.634841,0.74654
640,0.557615,0.805785
641,0.474898,0.857073
642,0.387508,0.899899
643,0.296307,0.933842
644,0.202195,0.958568
645,0.106102,0.973836
646,0.00897591,0.979495
647,-0.0882256,0.975492
648,-0.184543,0.961868
649,-0.279028,0.938758
650,-0.370747,0.906392
651,-0.458797,0.86509
652,-0.542309,0.815262
653,-0.620461,0.757401
654,-0.692483,0.692077
655,-0.757666,0.619938
656,-0.815367,0.541694
657,-0.865019,0.458119
658,-0.906134,0.370038
659,-0.938307,0.27832
660,-0.961222,0.183871
661,-0.974656,0.0876213
662,-0.978477,-0.00947863
663,-0.972648,-0.106471
664,-0.95723,-0.202401
665,-0.932375,-0.296321
666,-0.898331,-0.387305
667,-0.855433,-0.474459
668,-0.804108,-0.556921
669,-0.744861,-0.633881
670,-0.67828,-0.704581
671,-0.60502,-0.768324
672,-0.525806,-0.824483
673,-0.441419,-0.872505
674,-0.352693,-0.911919
675,-0.260503,-0.942337
676,-0.165758,-0.963461
677,-0.0693919,-0.975085
678,0.0276441,-0.977094
679,0.124393,-0.969472
680,0.219903,-0.952294
681,0.313231,-0.925731
682,0.403457,-0.890048
683,0.489694,-0.845597
684,0.571092,-0.792817
685,0.646849,-0.732231
686,0.71622,-0.664436
687,0.778521,-0.590103
688,0.83314,-0.509965
689,0.879541,-0.424812
690,0.917266,-0.335485
691,0.945946,-0.242865
692,0.965299,-0.147865
693,0.975137,-0.0514219
694,0.975363,0.0455139
695,0.965978,0.141987
696,0.947075,0.237047
697,0.918843,0.329756
698,0.88156,0.419203
699,0.835597,0.504506
700,0.781407,0.584825
701,0.719525,0.659369
702,0.650563,0.727406
703,0.575202,0.788266
704,0.494184,0.84135
705,0.40831,0.886136
706,0.318425,0.922186
707,0.225417,0.949145
708,0.130202,0.966749
709,0.033719,0.974826
710,-0.0630821,0.973298
711,-0.159247,0.962183
712,-0.253829,0.94159
713,-0.345896,0.911725
714,-0.434542,0.872884
715,-0.518894,0.82545
716,-0.598122,0.769892
717,-0.671447,0.706759
718,-0.738146,0.636675
719,-0.797565,0.560329
720,-0.84912,0.478477
721,-0.892303,0.391924
722,-0.926691,0.301524
723,-0.951947,0.208169
